instance,solver,perturbation_scheme,replication,distance,processing_time
gr96.tsp,solve_tsp_simulated_annealing,ps3,0,66967116,32.50481916964054
gr96.tsp,solve_tsp_local_search,ps3,0,67115037,8.569258838891983
gr96.tsp,solve_tsp_simulated_annealing,ps4,0,70304833,38.340619921684265
gr96.tsp,solve_tsp_local_search,ps4,0,56127913,99.57401180267334
gr96.tsp,solve_tsp_simulated_annealing,ps5,0,56954470,15.787215806543827
gr96.tsp,solve_tsp_local_search,ps5,0,58764830,2.6341309770941734
gr96.tsp,solve_tsp_simulated_annealing,ps6,0,67904006,27.473324075341225
gr96.tsp,solve_tsp_local_search,ps6,0,56551720,100.40710966289043
gr96.tsp,solve_tsp_simulated_annealing,two_opt,0,56840596,11.667297437787056
gr96.tsp,solve_tsp_local_search,two_opt,0,58380933,2.4061916917562485
nrw1379.tsp,solve_tsp_simulated_annealing,ps1,0,1033653,300.3077547699213
nrw1379.tsp,solve_tsp_local_search,ps1,0,1081641,8.608533419668674
nrw1379.tsp,solve_tsp_simulated_annealing,ps2,0,444467,300.4305575862527
nrw1379.tsp,solve_tsp_local_search,ps2,0,347603,300.0051333606243
nrw1379.tsp,solve_tsp_simulated_annealing,ps3,0,429208,300.5695665702224
nrw1379.tsp,solve_tsp_local_search,ps3,0,532220,300.00218380242586
nrw1379.tsp,solve_tsp_simulated_annealing,ps4,0,430808,300.74906892329454
nrw1379.tsp,solve_tsp_local_search,ps4,0,552481,300.0019834935665
nrw1379.tsp,solve_tsp_simulated_annealing,ps5,0,413861,300.4327700212598
nrw1379.tsp,solve_tsp_local_search,ps5,0,145019,300.001422688365
nrw1379.tsp,solve_tsp_simulated_annealing,ps6,0,418622,300.73577481508255
nrw1379.tsp,solve_tsp_local_search,ps6,0,557607,300.0019129663706
nrw1379.tsp,solve_tsp_simulated_annealing,two_opt,0,290226,300.42610289901495
nrw1379.tsp,solve_tsp_local_search,two_opt,0,146806,300.0041584074497
ulysses22.tsp,solve_tsp_simulated_annealing,ps1,0,11093074,2.3143540620803833
ulysses22.tsp,solve_tsp_local_search,ps1,0,12850076,0.0014709457755088806
ulysses22.tsp,solve_tsp_simulated_annealing,ps2,0,7313193,2.147525876760483
ulysses22.tsp,solve_tsp_local_search,ps2,0,8465073,0.039160504937171936
ulysses22.tsp,solve_tsp_simulated_annealing,ps3,0,7257948,3.3436072170734406
ulysses22.tsp,solve_tsp_local_search,ps3,0,8232201,0.07559921592473984
ulysses22.tsp,solve_tsp_simulated_annealing,ps4,0,7194801,1.9127281457185745
ulysses22.tsp,solve_tsp_local_search,ps4,0,6954304,0.44563020020723343
ulysses22.tsp,solve_tsp_simulated_annealing,ps5,0,7052244,1.979083426296711
ulysses22.tsp,solve_tsp_local_search,ps5,0,7079680,0.044943809509277344
ulysses22.tsp,solve_tsp_simulated_annealing,ps6,0,6982748,2.007466748356819
ulysses22.tsp,solve_tsp_local_search,ps6,0,6929221,0.4514846131205559
ulysses22.tsp,solve_tsp_simulated_annealing,two_opt,0,7055762,0.7789221629500389
ulysses22.tsp,solve_tsp_local_search,two_opt,0,7074912,0.047958821058273315
burma14.tsp,solve_tsp_simulated_annealing,ps1,0,5064995,0.8053871020674706
burma14.tsp,solve_tsp_local_search,ps1,0,4781695,0.005979806184768677
burma14.tsp,solve_tsp_simulated_annealing,ps2,0,3396359,0.6220812201499939
burma14.tsp,solve_tsp_local_search,ps2,0,3589411,0.009526044130325317
burma14.tsp,solve_tsp_simulated_annealing,ps3,0,3354518,0.37841837853193283
burma14.tsp,solve_tsp_local_search,ps3,0,3392183,0.020475447177886963
burma14.tsp,solve_tsp_simulated_annealing,ps4,0,3354518,0.99166489392519
burma14.tsp,solve_tsp_local_search,ps4,0,3354518,0.0766807496547699
burma14.tsp,solve_tsp_simulated_annealing,ps5,0,3392183,0.6527319252490997
burma14.tsp,solve_tsp_local_search,ps5,0,3456124,0.011769421398639679
burma14.tsp,solve_tsp_simulated_annealing,ps6,0,3354518,0.5815739780664444
burma14.tsp,solve_tsp_local_search,ps6,0,3354518,0.054989077150821686
burma14.tsp,solve_tsp_simulated_annealing,two_opt,0,3354518,0.6229274645447731
burma14.tsp,solve_tsp_local_search,two_opt,0,3565144,0.008572407066822052
d2103.tsp,solve_tsp_simulated_annealing,ps1,0,2235356,300.4625431224704
d2103.tsp,solve_tsp_local_search,ps1,0,2496720,22.00272611528635
d2103.tsp,solve_tsp_simulated_annealing,ps2,0,1216685,300.6601126343012
d2103.tsp,solve_tsp_local_search,ps2,0,1059811,300.004967674613
d2103.tsp,solve_tsp_simulated_annealing,ps3,0,1195888,300.855768725276
d2103.tsp,solve_tsp_local_search,ps3,0,1621742,300.0026324018836
d2103.tsp,solve_tsp_simulated_annealing,ps4,0,1231881,301.12432016432285
d2103.tsp,solve_tsp_local_search,ps4,0,1528965,300.00767443329096
d2103.tsp,solve_tsp_simulated_annealing,ps5,0,892929,300.67068064957857
d2103.tsp,solve_tsp_local_search,ps5,0,540421,300.00555834919214
d2103.tsp,solve_tsp_simulated_annealing,ps6,0,1229467,301.12182461470366
d2103.tsp,solve_tsp_local_search,ps6,0,1594869,300.0020413696766
d2103.tsp,solve_tsp_simulated_annealing,two_opt,0,983467,300.6675577685237
d2103.tsp,solve_tsp_local_search,two_opt,0,545978,300.006690479815
gr48.tsp,solve_tsp_simulated_annealing,ps1,0,14238.0,5.37033749371767
gr48.tsp,solve_tsp_local_search,ps1,0,15046.0,0.008973024785518646
